Section,Title,Preconditions,Steps,Expected Result,Priority,Type,References
HU-01,"TC-SIXP-001 - Validar el menú muestra opciones de iniciar juego, cargar partida, puntuaciones y salir.",Juego Space Invaders abierto y ambiente Java configurado.,"Dado que el jugador está en el menú principal | Cuando selecciona la opción Iniciar Juego | Entonces el sistema abre el panel de juego con nave, enemigos, vidas y puntaje inicial.","El menú muestra opciones de iniciar juego, cargar partida, puntuaciones y salir.",Alta,Aceptación,HU-01 SIXP-1 CA-01
HU-01,TC-SIXP-002 - Validar al presionar Iniciar Juego se abre el escenario principal sin errores.,Juego Space Invaders abierto y ambiente Java configurado.,"Dado que el jugador está en el menú principal | Cuando selecciona la opción Iniciar Juego | Entonces el sistema abre el panel de juego con nave, enemigos, vidas y puntaje inicial.",Al presionar Iniciar Juego se abre el escenario principal sin errores.,Alta,Integración,HU-01 SIXP-1 CA-02
HU-01,"TC-SIXP-003 - Validar el juego inicia con puntaje cero, vidas iniciales y enemigos visibles.",Juego Space Invaders abierto y ambiente Java configurado.,"Dado que el jugador está en el menú principal | Cuando selecciona la opción Iniciar Juego | Entonces el sistema abre el panel de juego con nave, enemigos, vidas y puntaje inicial.","El juego inicia con puntaje cero, vidas iniciales y enemigos visibles.",Alta,Aceptación,HU-01 SIXP-1 CA-03
HU-02,TC-SIXP-004 - Validar la nave se mueve a la izquierda al presionar la tecla correspondiente.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que la partida está activa | Cuando el jugador presiona izquierda o derecha | Entonces la nave cambia su posición sin salir del área de juego.,La nave se mueve a la izquierda al presionar la tecla correspondiente.,Alta,Aceptación,HU-02 SIXP-2 CA-01
HU-02,TC-SIXP-005 - Validar la nave se mueve a la derecha al presionar la tecla correspondiente.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que la partida está activa | Cuando el jugador presiona izquierda o derecha | Entonces la nave cambia su posición sin salir del área de juego.,La nave se mueve a la derecha al presionar la tecla correspondiente.,Alta,Integración,HU-02 SIXP-2 CA-02
HU-02,TC-SIXP-006 - Validar la nave no sale de los límites visibles del panel.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que la partida está activa | Cuando el jugador presiona izquierda o derecha | Entonces la nave cambia su posición sin salir del área de juego.,La nave no sale de los límites visibles del panel.,Alta,Aceptación,HU-02 SIXP-2 CA-03
HU-03,TC-SIXP-007 - Validar al presionar la tecla de disparo se genera un proyectil desde la nave.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que la partida está activa | Cuando el jugador presiona la tecla de disparo | Entonces se crea un proyectil visible que avanza desde la nave hacia los enemigos.,Al presionar la tecla de disparo se genera un proyectil desde la nave.,Alta,Aceptación,HU-03 SIXP-3 CA-01
HU-03,TC-SIXP-008 - Validar el proyectil avanza hacia arriba y desaparece al salir del mapa.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que la partida está activa | Cuando el jugador presiona la tecla de disparo | Entonces se crea un proyectil visible que avanza desde la nave hacia los enemigos.,El proyectil avanza hacia arriba y desaparece al salir del mapa.,Alta,Integración,HU-03 SIXP-3 CA-02
HU-03,TC-SIXP-009 - Validar el sistema respeta la velocidad/cooldown de disparo para evitar disparos infinitos.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que la partida está activa | Cuando el jugador presiona la tecla de disparo | Entonces se crea un proyectil visible que avanza desde la nave hacia los enemigos.,El sistema respeta la velocidad/cooldown de disparo para evitar disparos infinitos.,Alta,Aceptación,HU-03 SIXP-3 CA-03
HU-04,TC-SIXP-010 - Validar el sistema genera varios tipos de enemigos al iniciar la partida.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que una partida inicia | Cuando el sistema carga el escenario | Entonces se muestran enemigos organizados en oleadas con movimiento controlado.,El sistema genera varios tipos de enemigos al iniciar la partida.,Alta,Aceptación,HU-04 SIXP-4 CA-01
HU-04,TC-SIXP-011 - Validar los enemigos se desplazan como enjambre y cambian de dirección según el límite.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que una partida inicia | Cuando el sistema carga el escenario | Entonces se muestran enemigos organizados en oleadas con movimiento controlado.,Los enemigos se desplazan como enjambre y cambian de dirección según el límite.,Alta,Integración,HU-04 SIXP-4 CA-02
HU-04,TC-SIXP-012 - Validar al terminar una oleada se puede incrementar la dificultad.,Juego Space Invaders abierto y ambiente Java configurado.,Dado que una partida inicia | Cuando el sistema carga el escenario | Entonces se muestran enemigos organizados en oleadas con movimiento controlado.,Al terminar una oleada se puede incrementar la dificultad.,Alta,Aceptación,HU-04 SIXP-4 CA-03
