HU,Jira,Criterio,Gherkin,TestCase,TestRail,ResponsableDev,Tester
HU-01,SIXP-1,CA-01,"Dado que el jugador está en el menú principal
Cuando selecciona la opción Iniciar Juego
Entonces el sistema abre el panel de juego con nave, enemigos, vidas y puntaje inicial.",TC-SIXP-001,C101,David,Diego
HU-01,SIXP-1,CA-02,"Dado que el jugador está en el menú principal
Cuando selecciona la opción Iniciar Juego
Entonces el sistema abre el panel de juego con nave, enemigos, vidas y puntaje inicial.",TC-SIXP-002,C102,David,Diego
HU-01,SIXP-1,CA-03,"Dado que el jugador está en el menú principal
Cuando selecciona la opción Iniciar Juego
Entonces el sistema abre el panel de juego con nave, enemigos, vidas y puntaje inicial.",TC-SIXP-003,C103,David,Diego
HU-02,SIXP-2,CA-01,"Dado que la partida está activa
Cuando el jugador presiona izquierda o derecha
Entonces la nave cambia su posición sin salir del área de juego.",TC-SIXP-004,C104,Kevin,Diego
HU-02,SIXP-2,CA-02,"Dado que la partida está activa
Cuando el jugador presiona izquierda o derecha
Entonces la nave cambia su posición sin salir del área de juego.",TC-SIXP-005,C105,Kevin,Diego
HU-02,SIXP-2,CA-03,"Dado que la partida está activa
Cuando el jugador presiona izquierda o derecha
Entonces la nave cambia su posición sin salir del área de juego.",TC-SIXP-006,C106,Kevin,Diego
HU-03,SIXP-3,CA-01,"Dado que la partida está activa
Cuando el jugador presiona la tecla de disparo
Entonces se crea un proyectil visible que avanza desde la nave hacia los enemigos.",TC-SIXP-007,C107,Kevin,Diego
HU-03,SIXP-3,CA-02,"Dado que la partida está activa
Cuando el jugador presiona la tecla de disparo
Entonces se crea un proyectil visible que avanza desde la nave hacia los enemigos.",TC-SIXP-008,C108,Kevin,Diego
HU-03,SIXP-3,CA-03,"Dado que la partida está activa
Cuando el jugador presiona la tecla de disparo
Entonces se crea un proyectil visible que avanza desde la nave hacia los enemigos.",TC-SIXP-009,C109,Kevin,Diego
HU-04,SIXP-4,CA-01,"Dado que una partida inicia
Cuando el sistema carga el escenario
Entonces se muestran enemigos organizados en oleadas con movimiento controlado.",TC-SIXP-010,C110,Kevin,Diego
HU-04,SIXP-4,CA-02,"Dado que una partida inicia
Cuando el sistema carga el escenario
Entonces se muestran enemigos organizados en oleadas con movimiento controlado.",TC-SIXP-011,C111,Kevin,Diego
HU-04,SIXP-4,CA-03,"Dado que una partida inicia
Cuando el sistema carga el escenario
Entonces se muestran enemigos organizados en oleadas con movimiento controlado.",TC-SIXP-012,C112,Kevin,Diego
HU-05,SIXP-5,CA-01,"Dado que existen proyectiles y enemigos en pantalla
Cuando ocurre una colisión válida
Entonces el sistema actualiza entidad, puntaje o vidas según corresponda.",TC-SIXP-013,C113,Kevin,Diego
HU-05,SIXP-5,CA-02,"Dado que existen proyectiles y enemigos en pantalla
Cuando ocurre una colisión válida
Entonces el sistema actualiza entidad, puntaje o vidas según corresponda.",TC-SIXP-014,C114,Kevin,Diego
HU-05,SIXP-5,CA-03,"Dado que existen proyectiles y enemigos en pantalla
Cuando ocurre una colisión válida
Entonces el sistema actualiza entidad, puntaje o vidas según corresponda.",TC-SIXP-015,C115,Kevin,Diego
HU-06,SIXP-6,CA-01,"Dado que la partida está activa
Cuando un proyectil impacta una barrera
Entonces el sistema aplica la regla de daño y evita que el proyectil continúe.",TC-SIXP-016,C116,Kevin,Diego
HU-06,SIXP-6,CA-02,"Dado que la partida está activa
Cuando un proyectil impacta una barrera
Entonces el sistema aplica la regla de daño y evita que el proyectil continúe.",TC-SIXP-017,C117,Kevin,Diego
